country,description,designation,points,province,taster_name,taster_twitter_handle,title,variety,winery
Argentina,"Just when you think Alta Vista has gotten everything it can from Temis (see the 2012), this comes along to reset the benchmark. Ripe, round and lush on the nose, with full-force blackberry and prune aromas, this shows titanic grip, depth and ripeness on the palate. Flavors of raisin, chocolate and blackberry finish with hefty tannins and a smear of mocha flavor. Drink from 2018–2026.",Single Vineyard Temis,96,Mendoza Province,Michael Schachner,@wineschach,Alta Vista 2013 Single Vineyard Temis Malbec (Mendoza),Malbec,Alta Vista
Italy,"Balancing power and grace, this wine delivers alluring aromas and flavors of ripe black cherry, raspberry compote, grilled herb, licorice and tar. Vibrant acidity and firm, velvety tannins provide freshness and structure, while a hint of pipe tobacco closes the lingering finish. Drink 2020–2032.",Montosoli,97,Tuscany,Kerin O’Keefe,@kerinokeefe,Altesino 2012 Montosoli  (Brunello di Montalcino),Sangiovese,Altesino
Portugal,"A rich and powerful wine, dense and chewy. Its tannins dominate a wine that is still young. The damson and blackberry fruits give richness and acidity. Combined, the structure and the fruit make an imposing, potentially long-lived wine.",Pape,95,Dão,Roger Voss,@vossroger,Alvaro Castro 2007 Pape Red (Dão),Portuguese Red,Alvaro Castro
Portugal,"Here is a powerful, dense wine, with modest alcohol— thanks to the Dão's mountain climate and granite soil. Pape is a top wine from Alvaro Castro made predominantly from Touriga Nacional. Perfumed, elegant and structured, with plenty of concentration, this is a wine for serious aging.",Pape,95,Dão,Roger Voss,@vossroger,Alvaro Castro 2008 Pape Red (Dão),Portuguese Red,Alvaro Castro
Spain,"One of the world's best PX wines is Solera 1927, the pride of Alvear. Whatever solera stocks went into this bottling were well selected. Aromas of maple and fine wood turn to fig and caramel. Saturation and weight on the palate are expected, but this has some (though not a lot) acidic cut. Deep flavors of fig and Nutella finish with nuttiness and warmth. Drink or hold.",Solera 1927,96,Andalucia,Michael Schachner,@wineschach,Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear
Austria,"The scent of very ripe Amalfi lemon hovers above everything but the second sniff immediately signals juicy Mirabelle plums edged with Golden Delicious apple. The palate is equally ripe and smooth—warm sunshine refracted through a prism of opulent fruit, yet toned and precise. Some exposure to air reveals a distinctly stony minerality. A keeper.",Steinertal Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Alzinger 2013 Steinertal Smaragd Riesling (Wachau),Riesling,Alzinger
Austria,"The nose is closed, but the palate speaks of concentration and a stony core that is still tightly coiled. Once this is ready, it will unfurl into glorious lemon zest and oil notions. For now, this is taut and tight, secretive and closed. There is an implicit stony slenderness, which has a heart of generous fruit buried at its core. This comes with a great promise of future glory, immense direction and concentration. Drink 2020–2040.",Loibenberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Alzinger 2015 Loibenberg Smaragd Riesling (Wachau),Riesling,Alzinger
Italy,"This gorgeous wine, made entirely with Sangiovese, delivers a multifaceted bouquet of blue flowers, ripe plum, black cherry, leather, menthol and clove. The powerful but refined palate doles out layers of juicy black cherry, baking spices, mint, orange zest, anise and tobacco alongside smooth, velvety tannins and surprising freshness for the vintage.",Riserva,95,Tuscany,Kerin O’Keefe,@kerinokeefe,Amantis 2007 Riserva  (Montecucco),Sangiovese,Amantis
US,"Sublime and gritty in stony, gravelly texture, this wine surprises and awes in its commingling of salty lime, focused acidity and complex tones of apple, pear and fig. Medium-bodied, it unravels slowly in the glass, continuing to pursue different avenues of flavor and intellectual pleasure.",Dutton Ranch,95,California,Virginie Boone,@vboone,Anaba 2014 Dutton Ranch Chardonnay (Sonoma Coast),Chardonnay,Anaba
US,"A unique version of Andrew Will's Champoux, this is more than half Cabernet Franc, with Merlot, Cabernet Sauvignon and Petit Verdot filling in the rest. Thick and tannic, yet perfectly ripe and almost silky, it coats the palate with black cherry, graphite, slate and a bit of chalk. All that said, the fruit more than holds its own against the terroir's minerality. Drink this with your best steak, and give it plenty of breathing time.",Champoux Vineyard Red Wine,95,Washington,Paul Gregutt,@paulgwine ,Andrew Will 2007 Champoux Vineyard Red Wine Red (Horse Heaven Hills),Red Blend,Andrew Will
US,"A completely different blend from the winery's 2006 Ciel, this reflects Chris Camarda's growing enchantment with Cabernet Franc, which is now 45% of the blend. Most of the rest is Merlot—a Right Bank style. The concept works. It captures the sleek minerality of the site, and puts the fruit into tight, laser-like focus. The wine seems almost crystalline—sharp-edged and reflective, with penetrating angles and offset flavors.",Ciel du Cheval Vineyard Red Wine,96,Washington,Paul Gregutt,@paulgwine ,Andrew Will 2007 Ciel du Cheval Vineyard Red Wine Red (Red Mountain),Red Blend,Andrew Will
US,"In this new vintage of Sorella, Cabernet Sauvignon is again right out front at 72% of the blend. Here the fruit seems more subdued, the wine tight, the dense tannins showing graphite and mineral more than new barrel flavors. It definitely needs decanting.",Sorella Red Wine,96,Washington,Paul Gregutt,@paulgwine ,Andrew Will 2007 Sorella Red Wine Red (Red Mountain),Red Blend,Andrew Will
US,"Sourced entirely from the Champoux Vineyard, this Bordeaux-style blend is two-thirds Cabernet Sauvignon. Yummy from the first sniff to the last sip, it's packed with juicy berries and cassis, gracefully wrapped in layers of black olive, toast, clean earth and dark chocolate. Tannins are ripe and smooth.",Sorella,95,Washington,Paul Gregutt,@paulgwine ,Andrew Will 2009 Sorella Red (Horse Heaven Hills),Bordeaux-style Red Blend,Andrew Will
France,"The 2009 Les Cailloux is a classically built Châteauneuf that should age well through at least 2025. The blend of 65% Grenache, 20% Mourvèdre, 12% Syrah and 3% Cinsault starts off with lovely notes of wild thyme and dark fruit, then adds herbal complexity and chocolaty richness. It's full bodied yet firm, with some dusty but elegant tannins on the finish. It's excellent now, but will be even better in 2016 and beyond.",Les Cailloux,95,Rhône Valley,Joe Czerwinski,@JoeCz,André Brunel 2009 Les Cailloux Red (Châteauneuf-du-Pape),Rhône-style Red Blend,André Brunel
Italy,"Fast becoming one of the world's top luxury cuvées, this blend of 60% Cabernet Sauvignon, 30% Merlot and 10% Syrah is a complex amalgam of dry, classy fruit, herbal notes, smoked meat, black pepper and baking spices. Its calling card is its perfect body weight. It isn't heavy or jammy, but it manages to offer tons of stuffing and a graceful finish loaded with the essences of cola, coffee and chocolate. If possible, it should be cellared for several more years.",Guado Al Tasso,95,Tuscany,Michael Schachner,@wineschach,Antinori 1999 Guado Al Tasso  (Bolgheri),Red Blend,Antinori
Austria,"Earthiness, undergrowth and juicy wild strawberries tinged with wet oak leaf dominate the nose and palate of this exemplary wine. It is exquisitely silky and profound on the palate, with fleeting, gossamer tannins. With time, ripe red-cherry notions appear. The finish is complex and nuanced, with lovely earth, spice and fruit sensations.",Reserve Limited Edition,96,Wagram,Anne Krebiehl MW,@AnneInVino,Anton Bauer 2012 Reserve Limited Edition Pinot Noir (Wagram),Pinot Noir,Anton Bauer
Austria,"The most gentle strawberry fruit appears unobtrusively on the nose. The palate reveals incredibly pure and honest wild strawberry fruit. The palate is slender but totally concentrated—there is depth to the wine and something ethereal and utterly seductive. This is not about power but about arresting allure. The true nature of Pinot Noir has been captured here, without force, without guile. This is honest and all the more disarming for that.",Reserve Limited Edition,95,Wagram,Anne Krebiehl MW,@AnneInVino,Anton Bauer 2014 Reserve Limited Edition Pinot Noir (Wagram),Pinot Noir,Anton Bauer
US,"It's a shame more producers don't hold their Pinot Noirs back longer, for this bottling from Joe Davis reveals so much depth compared to current releases. Raspberry, rose petal, cola and cinnamon stick show on the nose, while the palate offers rounded flavors of dried strawberry, thyme and game. It's all intricately woven by time into something wonderful.",Sierra Madre,95,California,Matt Kettmann,@mattkettmann,Arcadian 2009 Sierra Madre Pinot Noir (Santa Maria Valley),Pinot Noir,Arcadian
US,"Complex, classy winemaking is evident from the first sniff to the final sip. Savory notes of green tea and clean earth complement a terroir-driven wine. The notes and nuances pile on—flowers and fruits, cherry and cassis, with a whiff of barnyard and undergrowth. The lingering, expressive finish is already boggling, and seems sure to continue to evolve gracefully through 2025–2030.",Arcus Estate,95,Oregon,Paul Gregutt,@paulgwine ,Archery Summit 2012 Arcus Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
US,"This wine hits the mark for spicy aromas, rich flavors and a velvety yet vibrant texture. The complex aromas resemble pencil shavings and baking spices, with flavors of bright red cherry, ripe plum and clove. While absolutely delicious to drink now, this will improve through at least 2019.",Ferrington Vineyard,95,California,Jim Gordon,@gordone_cellars,Arista 2013 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Arista
US,"Chock-a-block full of strawberry, black cherry and a sliver of orange peel, this wine is big-boned, well-structured and fleshy. Mouthfilling and juicy, the palate shows touches of black tea and tobacco, making for a lively tension between the earthiness and exuberance of fruit. Drink now through 2022.",Two Birds Estate Grown,95,California,Virginie Boone,@vboone,Arista 2013 Two Birds Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,Arista
US,"This wine delivers creamy, divine deliciousness from some of the vineyard's oldest vines. It's voluptuous and nutty, layered with preserved lemon, brioche, quince and kumquat flavors. A touch of green olive savoriness dances on the finish, framed by fresh acidity.",Ritchie Vineyard,95,California,Virginie Boone,@vboone,Arista 2014 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,Arista
US,"Marked by both reduction and oak, this wine feels lifted with acidity, opening in a vibrant shock of strawberry and Mandarin orange. Velvety layers subtle tannin carry a spicy finish of clove and salty sea air. A beautifully balanced, complete wine.",Two Birds Estate Grown,97,California,Virginie Boone,@vboone,Arista 2014 Two Birds Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,Arista
US,"This wine defines luxurious texture, at once velvety, richly layered and bright. From one of the warmer sites in a cool climate zone, it complements its fruit concentration with deeper sarsaparilla, vanilla, tea and cardamom scents, the finish delightfully playful in orange peel accents.",UV Lucky Well Vineyard,95,California,Virginie Boone,@vboone,Arista 2014 UV Lucky Well Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Arista
Italy,"Aromas of black cherry marinated in spirits, leather, underbrush, licorice and black pepper unfold in the glass of this sleek, powerfully structured wine. The glossy palate doles out mature black plum, blackberry, clove, nutmeg, grilled herb and mocha while a licorice note closes the lingering finish. It's still young and tightly wound with an assertive, tannic backbone. Drink 2018–2030.",25 Anni,95,Central Italy,Kerin O’Keefe,@kerinokeefe,Arnaldo Caprai 2010 25 Anni  (Montefalco Sagrantino),Sagrantino,Arnaldo Caprai
Italy,"This radiant, fragrant Nebbiolo opens with a potpourri of scents including aromatic herb, leather, cedar, pressed rose petal and dark spice. The luminous, subtle palate is loaded with finesse, delivering juicy red cherry, cinnamon, star anise, white pepper and pipe tobacco. It's impeccably balanced, with noble tannins and bright acidity. Drink now or hold for even more complexity. Drink through 2032.",Sassella Vigna Regina Riserva,96,Lombardy,Kerin O’Keefe,@kerinokeefe,Arpepe 2007 Sassella Vigna Regina Riserva  (Valtellina Superiore),Nebbiolo,Arpepe
Spain,"Artadi's top wine is dynamite in a bottle. Ripe, saturated, oaky aromas of blackberry, leather, blueberry pie and aged cheese are incredibly potent and alluring. This is huge in the mouth, with lemony oak and broad tannins that don't grind. Intense blackberry, coffee, toast and smoky flavors finish a mile deep, with all sorts of textural grab and character. Best from 2016 through 2026.",Viña El Pison,95,Northern Spain,Michael Schachner,@wineschach,Artadi 2011 Viña El Pison  (Rioja),Tempranillo Blend,Artadi
US,"This barrel-fermented Chardonnay, from the oldest plantings (1972) in Washington State, displays exceptional concentration and palate weight. Apple pie, pear tart, baking spice, butter and caramel flavors abound. It's rich and packed with fruit, along with the seductive flavors that aging in new French oak can provide.",Kestrel Vineyard,95,Washington,Paul Gregutt,@paulgwine ,Ashan 2012 Kestrel Vineyard Chardonnay (Yakima Valley),Chardonnay,Ashan
Italy,"Scorched earth, ripe berry, underbrush, ground pepper, leather and a balsamic note are just some of the aromas you'll find on this superb Barolo. The young, tight palate delivers rich black cherry, baking spice, licorice and tobacco while firm, velvety tannins provide the framework. A mineral vein energizes the finish. It already shows a great depth of flavors but it's still young and assertive. Hold to let this unwind and develop complexity. Drink 2021–2031.",Bussia Bricco Visette,96,Piedmont,Kerin O’Keefe,@kerinokeefe,Attilio Ghisolfi 2011 Bussia Bricco Visette  (Barolo),Nebbiolo,Attilio Ghisolfi
US,"Beautiful aromas of ripe red cherry and cherry blossoms mix with rose-laced potpourri, dust, cola and vanilla on the nose of this best-barrel bottling by Jim Clendenen, named after his daughter. Bright and zesty acidity grabs the palate's immediate attention, making the mouth water as flavors of tart cherry, rust, marinated olive and fig come forth, finishing in a very earthy way.",Isabelle,95,California,Matt Kettmann,@mattkettmann,Au Bon Climat 2013 Isabelle Pinot Noir (California),Pinot Noir,Au Bon Climat
US,"The condensed pomegranate aroma on the nose of this bottling from Jim Clendenen is beautifully spiced with star anise, tobacco leaf, dried ginger and cinnamon. The palate shows chai and Indian spice—accents to the cranberry fruit that rides a fine line between ripe and tart. Although light in body, the tannic structure is firm enough to cellar for decades. Drink now–2033.",Knox Alexander Estate Bottled,96,California,Matt Kettmann,@mattkettmann,Au Bon Climat 2013 Knox Alexander Estate Bottled Pinot Noir (Santa Maria Valley),Pinot Noir,Au Bon Climat
Italy,"This structured wine opens with earthy aromas of tilled soil, underbrush, leather, cedar, bright berries and baking spices. The vibrant palate displays classic Nebbiolo flavors of crushed dark cherry, clove, cinnamon, truffle, sage, thyme and licorice alongside brisk acidity and bracing but noble tannins. It will bloom into a beauty. Drink 2020–2040.",Rocche dell'Annunziata,95,Piedmont,Kerin O’Keefe,@kerinokeefe,Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo),Nebbiolo,Aurelio Settimo
US,"Austin Hope's latest releases are all about power and ripeness, and this blend of 35% Grenache, 35% Mourvèdre and 30% Syrah achieves balance and elegance amidst that strength. Cuban coffee, fig jam, dried blueberry and chocolate aromas lead into a pillowy-soft palate that's layered with espresso, cocoa, roasted fig and plum jam flavors. Steady acidity and finely chiseled tannins frame it all.",Avery #3 The Magic Sun,95,California,Matt Kettmann,@mattkettmann,Austin Hope 2014 Avery #3 The Magic Sun G-S-M (Templeton Gap District),G-S-M,Austin Hope
